Location,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Previous_Violations,day_of_week,hour,Violation_Type
Delhi,Truck,Grey,1999,Uttar Pradesh,33,Other,Learner,4,Rainy,Slippery,Expired,3,,,Green,60,34,0.29,Negative,No,5,4,10,No Seatbelt
Tamil Nadu,Auto Rickshaw,Silver,1999,Gujarat,59,Other,Two-Wheeler,1,Foggy,Wet,Suspended,5,No,,Green,100,40,0.17,Negative,Yes,0,5,10,No Helmet
Punjab,Car,Blue,2015,Karnataka,49,Other,Heavy Vehicle,2,Dust Storm,Potholes,Expired,4,No,,Yellow,60,81,0.1,Not Conducted,Yes,4,2,8,Wrong Parking
Punjab,Bike,Grey,2003,Maharashtra,52,Male,Two-Wheeler,7,Rainy,Potholes,Expired,5,,,Red,30,107,0.13,Positive,No,5,4,8,Overloading
Uttar Pradesh,Auto Rickshaw,Black,1999,Karnataka,71,Female,Heavy Vehicle,7,Dust Storm,Wet,Valid,3,Yes,,Green,80,109,0.4,Positive,Yes,1,0,9,Wrong Parking
Tamil Nadu,Bike,White,2009,West Bengal,59,Male,Commercial,0,Clear,Dry,Valid,1,No,No,Green,80,56,0.35,Not Conducted,No,3,5,22,No Helmet
Tamil Nadu,Auto Rickshaw,Yellow,2007,Gujarat,35,Female,Commercial,8,Foggy,Under Construction,Suspended,5,No,Yes,Green,80,56,0.14,Positive,No,5,2,3,No Seatbelt
Karnataka,Car,Green,2021,Tamil Nadu,38,Male,Commercial,9,Dust Storm,Potholes,Valid,1,,No,Red,30,114,0.34,Positive,No,2,1,12,Drunk Driving
West Bengal,Car,Blue,2018,Uttar Pradesh,20,Other,Two-Wheeler,0,Dust Storm,Potholes,Suspended,5,,,Yellow,40,76,0.12,Negative,Yes,4,4,9,Over-speeding
Maharashtra,Car,Black,2010,West Bengal,66,Other,Commercial,7,Dust Storm,Slippery,Valid,5,No,Yes,Green,100,23,0.13,Positive,No,5,2,1,Driving Without License
Uttar Pradesh,Auto Rickshaw,Silver,2010,Punjab,50,Other,Commercial,0,Clear,Potholes,Suspended,3,,,Green,100,106,0.03,Negative,Yes,1,3,14,Drunk Driving
West Bengal,Truck,Red,2000,Punjab,41,Other,Learner,2,Rainy,Slippery,Valid,4,Yes,No,Red,50,85,0.46,Negative,Yes,5,2,8,Over-speeding
Tamil Nadu,Bus,Blue,2012,Tamil Nadu,26,Male,Two-Wheeler,6,Dust Storm,Dry,Suspended,1,No,,Red,60,115,0.27,Negative,Yes,2,0,16,Signal Jumping
Gujarat,Car,Black,2011,Tamil Nadu,65,Other,Commercial,4,Cloudy,Wet,Valid,4,No,,Green,60,77,0.16,Negative,No,5,5,13,Signal Jumping
West Bengal,Scooter,Blue,1998,Punjab,22,Female,Commercial,6,Rainy,Under Construction,Valid,5,,Yes,Green,60,119,0.09,Not Conducted,Yes,5,1,7,Using Mobile Phone
Uttar Pradesh,Auto Rickshaw,Green,2004,Delhi,60,Female,Learner,5,Rainy,Slippery,Suspended,1,,Yes,Yellow,30,59,0.06,Positive,Yes,2,3,20,Drunk Driving
Tamil Nadu,Car,Black,2007,Tamil Nadu,74,Other,Two-Wheeler,1,Cloudy,Dry,Suspended,5,No,,Red,40,91,0.3,Negative,Yes,3,2,17,Wrong Parking
Uttar Pradesh,Truck,Blue,2009,Karnataka,23,Other,Learner,8,Foggy,Under Construction,Expired,3,,No,Green,30,95,0.15,Positive,Yes,5,4,1,Signal Jumping
Punjab,Bike,White,2012,Maharashtra,61,Male,Learner,6,Cloudy,Under Construction,Valid,3,,Yes,Red,40,45,0.03,Not Conducted,No,2,3,17,No Helmet
Gujarat,Scooter,Blue,1999,Punjab,50,Female,Heavy Vehicle,9,Dust Storm,Slippery,Valid,5,No,Yes,Red,30,66,0.05,Not Conducted,Yes,2,1,12,No Seatbelt
Punjab,Bus,Red,2022,Tamil Nadu,43,Other,Two-Wheeler,3,Dust Storm,Dry,Suspended,3,,No,Yellow,40,34,0.39,Positive,Yes,1,4,13,Signal Jumping
Delhi,Bike,Blue,2002,Punjab,50,Female,Commercial,6,Rainy,Under Construction,Expired,3,,No,Red,30,81,0.07,Not Conducted,No,4,2,0,No Seatbelt
West Bengal,Truck,Yellow,2015,Karnataka,74,Male,Two-Wheeler,6,Dust Storm,Slippery,Expired,2,No,No,Green,100,60,0.21,Not Conducted,Yes,1,5,10,Driving Without License
Punjab,Scooter,Silver,2020,Punjab,40,Other,Learner,1,Cloudy,Wet,Valid,2,Yes,Yes,Red,60,64,0.18,Positive,No,3,1,15,Wrong Parking
West Bengal,Bus,Yellow,2017,West Bengal,48,Female,Two-Wheeler,7,Cloudy,Dry,Suspended,5,No,,Yellow,50,69,0.19,Not Conducted,No,4,5,20,Overloading
West Bengal,Scooter,Black,2004,West Bengal,36,Male,Four-Wheeler,0,Dust Storm,Potholes,Expired,1,,No,Green,60,44,0.1,Positive,No,5,3,8,Over-speeding
Tamil Nadu,Car,White,2006,Maharashtra,56,Other,Four-Wheeler,2,Clear,Potholes,Suspended,1,No,Yes,Yellow,30,112,0.5,Positive,Yes,0,4,16,No Seatbelt
Punjab,Truck,White,2010,Uttar Pradesh,21,Male,Learner,6,Dust Storm,Dry,Valid,5,No,No,Yellow,40,55,0.06,Not Conducted,No,0,5,6,Drunk Driving
Delhi,Bike,Red,2003,Delhi,35,Male,Commercial,5,Cloudy,Potholes,Expired,3,No,No,Green,80,95,0.17,Positive,Yes,2,4,19,Over-speeding
Punjab,Scooter,Blue,2003,Maharashtra,19,Male,Heavy Vehicle,2,Cloudy,Potholes,Suspended,2,,,Green,60,60,0.2,Negative,No,4,5,1,Signal Jumping
Tamil Nadu,Auto Rickshaw,Black,1999,Tamil Nadu,53,Male,Four-Wheeler,2,Dust Storm,Dry,Suspended,5,,,Red,100,83,0.43,Not Conducted,No,1,0,0,Signal Jumping
Punjab,Scooter,Yellow,2023,Gujarat,35,Female,Heavy Vehicle,7,Cloudy,Potholes,Expired,4,,No,Yellow,50,75,0.37,Positive,Yes,3,5,8,Signal Jumping
Delhi,Bike,Yellow,1999,Gujarat,43,Other,Commercial,4,Cloudy,Under Construction,Valid,4,No,No,Yellow,30,51,0.09,Not Conducted,Yes,2,0,1,Signal Jumping
Punjab,Auto Rickshaw,Blue,2009,Uttar Pradesh,66,Female,Two-Wheeler,9,Cloudy,Dry,Suspended,2,,No,Green,80,97,0.46,Not Conducted,No,3,1,4,Overloading
Maharashtra,Truck,Yellow,2018,Tamil Nadu,57,Male,Learner,7,Rainy,Wet,Valid,2,No,Yes,Green,60,118,0.07,Negative,No,1,3,12,Drunk Driving
Punjab,Auto Rickshaw,Green,2005,Uttar Pradesh,24,Female,Two-Wheeler,8,Cloudy,Slippery,Valid,1,,No,Red,50,34,0.35,Negative,No,4,6,23,Signal Jumping
Karnataka,Truck,Red,2011,Delhi,19,Male,Four-Wheeler,2,Foggy,Slippery,Suspended,3,Yes,,Yellow,40,27,0.35,Not Conducted,Yes,2,5,4,No Seatbelt
West Bengal,Scooter,White,2006,Maharashtra,52,Female,Four-Wheeler,0,Rainy,Under Construction,Valid,3,,No,Yellow,30,58,0.35,Negative,No,0,1,21,No Seatbelt
West Bengal,Scooter,Green,2013,Punjab,49,Female,Two-Wheeler,4,Rainy,Dry,Suspended,2,Yes,,Yellow,40,40,0.39,Negative,Yes,5,6,14,No Helmet
West Bengal,Scooter,Green,2002,Delhi,29,Male,Learner,2,Rainy,Under Construction,Valid,5,Yes,Yes,Green,40,115,0.25,Negative,No,0,1,1,Driving Without License
Delhi,Bike,Grey,2002,Uttar Pradesh,48,Male,Heavy Vehicle,7,Cloudy,Slippery,Suspended,2,No,No,Red,80,107,0.48,Negative,Yes,0,2,15,No Seatbelt
Karnataka,Bike,Grey,2011,Delhi,30,Male,Four-Wheeler,8,Foggy,Under Construction,Expired,3,Yes,No,Yellow,60,47,0.04,Negative,No,1,0,18,Signal Jumping
West Bengal,Truck,Grey,1997,Maharashtra,45,Other,Learner,7,Cloudy,Under Construction,Valid,2,Yes,No,Red,100,35,0.33,Positive,Yes,1,1,13,Over-speeding
West Bengal,Truck,Silver,1995,West Bengal,34,Male,Four-Wheeler,4,Cloudy,Potholes,Valid,1,No,No,Green,60,48,0.14,Negative,No,0,5,0,Wrong Parking
Tamil Nadu,Truck,Silver,2006,Karnataka,52,Female,Learner,2,Dust Storm,Potholes,Expired,1,,Yes,Yellow,60,37,0.29,Positive,Yes,5,0,23,Overloading
Uttar Pradesh,Car,Silver,2007,Punjab,71,Male,Commercial,4,Rainy,Slippery,Suspended,5,No,,Red,30,50,0.03,Positive,Yes,0,4,8,Overloading
Gujarat,Bike,Yellow,2016,Delhi,40,Male,Heavy Vehicle,4,Clear,Slippery,Expired,3,No,No,Yellow,100,37,0.42,Negative,No,0,4,19,Signal Jumping
West Bengal,Bike,White,2021,Uttar Pradesh,35,Male,Two-Wheeler,2,Rainy,Dry,Valid,2,No,No,Green,50,57,0.38,Not Conducted,Yes,4,1,16,Using Mobile Phone
Punjab,Auto Rickshaw,Grey,2023,Uttar Pradesh,35,Male,Heavy Vehicle,1,Clear,Dry,Valid,1,,No,Green,40,87,0.46,Not Conducted,No,2,3,15,No Seatbelt
Tamil Nadu,Scooter,Silver,2019,Tamil Nadu,30,Male,Two-Wheeler,4,Dust Storm,Under Construction,Suspended,2,Yes,No,Yellow,100,73,0.23,Negative,Yes,4,5,7,Driving Without License
Karnataka,Truck,Blue,2009,Tamil Nadu,31,Female,Four-Wheeler,2,Dust Storm,Slippery,Valid,1,Yes,Yes,Green,100,89,0.32,Positive,No,0,5,14,No Seatbelt
Maharashtra,Scooter,Black,1998,Uttar Pradesh,43,Male,Commercial,0,Foggy,Potholes,Expired,5,,No,Green,80,45,0.23,Positive,Yes,3,3,23,Driving Without License
Maharashtra,Bus,Blue,2007,Delhi,25,Female,Two-Wheeler,8,Foggy,Slippery,Suspended,1,Yes,Yes,Green,50,110,0.02,Negative,No,1,6,16,No Seatbelt
Tamil Nadu,Bus,White,2006,West Bengal,35,Male,Commercial,3,Clear,Dry,Suspended,5,No,,Red,60,49,0.45,Not Conducted,Yes,3,6,4,No Helmet
Maharashtra,Truck,Yellow,2000,Karnataka,30,Male,Four-Wheeler,7,Foggy,Potholes,Expired,1,Yes,Yes,Green,80,68,0.47,Positive,No,1,3,22,Over-speeding
West Bengal,Car,Green,2010,Tamil Nadu,52,Female,Learner,4,Clear,Potholes,Suspended,5,No,No,Yellow,60,75,0.19,Negative,Yes,1,5,5,Driving Without License
Gujarat,Auto Rickshaw,Silver,2004,Delhi,58,Female,Two-Wheeler,3,Rainy,Under Construction,Valid,2,Yes,Yes,Red,30,40,0.24,Negative,No,0,5,10,Overloading
West Bengal,Bike,White,2022,Gujarat,49,Male,Heavy Vehicle,4,Clear,Slippery,Expired,3,No,No,Red,80,52,0.15,Not Conducted,Yes,1,1,6,No Seatbelt
Gujarat,Auto Rickshaw,Silver,2014,Tamil Nadu,31,Female,Two-Wheeler,8,Clear,Slippery,Suspended,3,Yes,,Green,60,52,0.28,Not Conducted,Yes,2,5,8,No Helmet
Tamil Nadu,Bus,White,1999,West Bengal,55,Male,Four-Wheeler,4,Foggy,Wet,Suspended,4,Yes,,Yellow,60,86,0.09,Positive,No,0,4,12,Over-speeding
Maharashtra,Truck,Yellow,1995,Punjab,48,Male,Two-Wheeler,6,Foggy,Potholes,Valid,1,No,Yes,Red,60,42,0.12,Positive,No,5,4,1,Wrong Parking
Delhi,Bus,Red,2017,Gujarat,28,Female,Learner,6,Cloudy,Slippery,Expired,4,,No,Green,80,29,0.09,Positive,No,5,0,23,Over-speeding
Maharashtra,Truck,Grey,1998,Punjab,24,Female,Learner,7,Dust Storm,Potholes,Expired,3,,No,Red,100,27,0.45,Negative,Yes,2,4,15,No Seatbelt
Delhi,Auto Rickshaw,Grey,2004,Delhi,21,Other,Heavy Vehicle,0,Dust Storm,Potholes,Expired,2,No,,Yellow,80,88,0.4,Not Conducted,No,3,4,11,Overloading
Delhi,Bus,Grey,2004,Uttar Pradesh,60,Male,Four-Wheeler,4,Clear,Wet,Suspended,3,Yes,No,Green,40,48,0.45,Not Conducted,Yes,2,3,20,No Seatbelt
Delhi,Bus,Yellow,2021,West Bengal,51,Female,Heavy Vehicle,4,Cloudy,Potholes,Expired,5,Yes,No,Yellow,80,34,0.29,Not Conducted,Yes,5,2,15,Using Mobile Phone
Karnataka,Bike,Red,1997,Karnataka,52,Male,Learner,9,Rainy,Dry,Valid,3,Yes,,Red,100,106,0.23,Positive,No,1,0,11,Signal Jumping
Karnataka,Truck,Red,2020,West Bengal,48,Female,Heavy Vehicle,0,Cloudy,Slippery,Suspended,1,Yes,No,Red,50,41,0.12,Positive,Yes,3,6,2,Drunk Driving
Punjab,Scooter,Red,2007,West Bengal,36,Male,Learner,9,Foggy,Slippery,Suspended,4,,,Red,100,74,0.21,Not Conducted,No,0,4,20,Over-speeding
Maharashtra,Bike,Blue,2004,Maharashtra,63,Male,Learner,10,Rainy,Dry,Valid,1,,,Red,40,24,0.4,Positive,No,3,6,23,Drunk Driving
Karnataka,Car,Silver,2016,Uttar Pradesh,47,Other,Commercial,7,Dust Storm,Under Construction,Suspended,3,,,Yellow,50,111,0.08,Negative,No,4,1,8,Wrong Parking
Karnataka,Bus,White,2023,Maharashtra,44,Other,Heavy Vehicle,2,Clear,Slippery,Valid,4,No,Yes,Green,60,116,0.16,Positive,No,1,3,15,Overloading
West Bengal,Car,Silver,2000,Delhi,48,Male,Four-Wheeler,10,Rainy,Wet,Valid,4,No,,Yellow,100,23,0.41,Not Conducted,Yes,3,4,13,Over-speeding
Delhi,Scooter,Grey,2014,Tamil Nadu,70,Female,Heavy Vehicle,3,Foggy,Slippery,Suspended,4,,Yes,Green,80,91,0.33,Negative,Yes,5,6,14,No Seatbelt
Uttar Pradesh,Truck,Grey,2011,Tamil Nadu,25,Female,Heavy Vehicle,0,Rainy,Dry,Expired,1,Yes,,Red,30,84,0.26,Not Conducted,Yes,5,2,1,Drunk Driving
Delhi,Bike,Black,2012,Punjab,40,Female,Heavy Vehicle,3,Cloudy,Dry,Expired,4,Yes,,Red,50,102,0.4,Negative,Yes,3,4,4,Over-speeding
Maharashtra,Scooter,Red,2009,Karnataka,40,Other,Commercial,10,Clear,Under Construction,Expired,4,No,No,Yellow,30,111,0.24,Positive,Yes,2,0,5,Over-speeding
Delhi,Auto Rickshaw,Yellow,2004,Uttar Pradesh,41,Female,Learner,4,Foggy,Slippery,Valid,4,No,Yes,Red,40,120,0.28,Not Conducted,Yes,5,5,17,Driving Without License
Maharashtra,Car,Blue,2006,Maharashtra,21,Female,Heavy Vehicle,8,Rainy,Potholes,Suspended,1,,,Red,50,105,0.38,Negative,No,4,2,2,Wrong Parking
Delhi,Car,Black,1995,Gujarat,27,Female,Four-Wheeler,7,Clear,Dry,Valid,1,,,Green,40,111,0.17,Positive,Yes,3,4,12,Overloading
Tamil Nadu,Bus,Red,2012,Delhi,56,Female,Learner,10,Foggy,Slippery,Suspended,2,,,Yellow,50,109,0.36,Not Conducted,No,5,6,6,Drunk Driving
Uttar Pradesh,Car,Blue,2006,Karnataka,23,Other,Learner,10,Clear,Slippery,Suspended,1,No,,Green,50,111,0.09,Negative,No,4,6,15,No Seatbelt
Karnataka,Bike,White,1998,Delhi,57,Male,Learner,9,Dust Storm,Under Construction,Suspended,1,Yes,,Yellow,50,47,0.15,Positive,Yes,0,3,23,Overloading
Punjab,Car,Silver,2003,Uttar Pradesh,63,Other,Learner,0,Rainy,Under Construction,Suspended,3,,No,Yellow,30,33,0.19,Positive,Yes,0,4,17,Driving Without License
Delhi,Truck,White,2001,Punjab,70,Male,Commercial,10,Clear,Under Construction,Suspended,4,Yes,,Yellow,80,60,0.45,Negative,Yes,4,0,2,No Seatbelt
Karnataka,Bus,Grey,2019,Karnataka,56,Male,Learner,7,Clear,Under Construction,Suspended,5,,Yes,Green,30,63,0.35,Positive,Yes,0,5,17,Over-speeding
Karnataka,Scooter,Red,2007,Tamil Nadu,60,Female,Four-Wheeler,5,Clear,Wet,Valid,3,No,No,Yellow,30,69,0.16,Negative,No,5,3,3,Wrong Parking
Punjab,Car,Silver,2007,Uttar Pradesh,59,Other,Heavy Vehicle,9,Dust Storm,Wet,Expired,3,Yes,Yes,Green,30,67,0.29,Negative,Yes,4,4,8,Signal Jumping
Tamil Nadu,Auto Rickshaw,White,2008,Delhi,56,Male,Four-Wheeler,9,Rainy,Slippery,Expired,5,Yes,,Red,60,51,0.4,Positive,Yes,0,1,15,No Helmet
Maharashtra,Bus,Blue,1997,Punjab,21,Other,Two-Wheeler,2,Foggy,Potholes,Suspended,1,No,,Yellow,40,85,0.5,Negative,No,0,6,3,No Seatbelt
Maharashtra,Truck,Green,1998,Punjab,48,Other,Heavy Vehicle,1,Foggy,Wet,Valid,2,No,No,Red,80,87,0.47,Positive,Yes,0,0,2,Drunk Driving
Uttar Pradesh,Auto Rickshaw,Red,1997,Punjab,32,Male,Heavy Vehicle,8,Cloudy,Slippery,Expired,3,No,No,Green,60,94,0.24,Negative,Yes,4,2,17,Drunk Driving
Uttar Pradesh,Auto Rickshaw,Black,2011,Delhi,50,Female,Learner,10,Foggy,Slippery,Valid,3,Yes,,Green,30,20,0.22,Not Conducted,No,2,5,11,Using Mobile Phone
Tamil Nadu,Auto Rickshaw,Green,2007,Karnataka,65,Male,Learner,6,Dust Storm,Dry,Valid,3,Yes,No,Green,60,62,0.16,Positive,Yes,4,2,9,Using Mobile Phone
Delhi,Bike,Silver,2020,Punjab,27,Other,Commercial,7,Clear,Slippery,Valid,3,Yes,Yes,Yellow,100,63,0.19,Not Conducted,No,4,6,2,Over-speeding
West Bengal,Truck,Green,2004,Delhi,74,Female,Learner,9,Dust Storm,Potholes,Expired,5,,,Yellow,80,59,0.38,Negative,Yes,2,5,6,No Helmet
Maharashtra,Bus,Green,1995,Delhi,19,Other,Four-Wheeler,9,Foggy,Dry,Valid,4,Yes,,Green,30,50,0.04,Not Conducted,No,4,5,6,No Helmet
Delhi,Auto Rickshaw,Green,2012,Punjab,20,Female,Four-Wheeler,8,Rainy,Slippery,Expired,2,Yes,No,Green,60,33,0.17,Negative,No,4,4,8,Drunk Driving
Tamil Nadu,Car,Yellow,2023,Uttar Pradesh,51,Male,Two-Wheeler,2,Foggy,Potholes,Suspended,3,Yes,,Yellow,50,31,0.2,Negative,No,3,4,7,Drunk Driving
Karnataka,Car,Grey,1998,Maharashtra,46,Male,Learner,9,Rainy,Slippery,Expired,3,Yes,No,Yellow,30,46,0.34,Positive,No,0,6,5,No Helmet
Karnataka,Bus,White,2005,Delhi,56,Male,Heavy Vehicle,6,Foggy,Slippery,Suspended,2,Yes,Yes,Green,80,31,0.01,Positive,Yes,2,1,10,No Helmet
Uttar Pradesh,Bike,Blue,2013,Maharashtra,41,Male,Four-Wheeler,5,Rainy,Dry,Expired,5,,Yes,Red,80,107,0.19,Negative,Yes,0,1,2,Drunk Driving
West Bengal,Scooter,White,1996,Punjab,49,Male,Four-Wheeler,3,Dust Storm,Slippery,Suspended,2,No,No,Yellow,30,76,0.11,Negative,Yes,2,0,5,No Seatbelt
Punjab,Bus,Red,1999,Uttar Pradesh,53,Female,Four-Wheeler,10,Clear,Slippery,Expired,5,,,Red,40,92,0.36,Positive,Yes,5,0,20,Overloading
Tamil Nadu,Bike,Green,2009,Uttar Pradesh,31,Other,Learner,8,Dust Storm,Potholes,Expired,4,No,No,Red,50,75,0.16,Negative,No,2,4,22,Drunk Driving
Karnataka,Bike,Silver,1997,Tamil Nadu,70,Male,Four-Wheeler,3,Cloudy,Dry,Valid,3,,No,Red,50,100,0.12,Not Conducted,No,5,2,10,Driving Without License
Tamil Nadu,Truck,Blue,2015,Delhi,22,Female,Heavy Vehicle,3,Foggy,Dry,Expired,4,,,Red,100,60,0.35,Positive,Yes,5,2,4,No Helmet
Maharashtra,Auto Rickshaw,Black,2021,West Bengal,38,Male,Two-Wheeler,0,Rainy,Dry,Suspended,3,,No,Yellow,40,34,0.05,Positive,Yes,1,3,2,No Seatbelt
Maharashtra,Car,White,2011,Punjab,75,Female,Learner,4,Clear,Potholes,Suspended,5,,No,Red,100,91,0.1,Positive,No,0,0,14,No Seatbelt
Gujarat,Bus,Yellow,2023,Maharashtra,42,Other,Two-Wheeler,4,Rainy,Dry,Expired,5,,No,Green,100,117,0.48,Negative,No,0,2,9,No Helmet
Delhi,Scooter,Red,2013,Punjab,55,Female,Four-Wheeler,10,Rainy,Wet,Suspended,3,No,Yes,Red,80,20,0.26,Negative,No,3,2,1,Drunk Driving
Karnataka,Auto Rickshaw,Red,2014,West Bengal,40,Other,Commercial,8,Clear,Dry,Expired,1,Yes,,Red,100,25,0.36,Not Conducted,No,2,1,11,Wrong Parking
Gujarat,Truck,White,2004,Tamil Nadu,28,Male,Learner,5,Clear,Potholes,Expired,3,No,,Green,60,114,0.16,Negative,No,2,3,14,No Helmet
Punjab,Auto Rickshaw,Yellow,2021,Punjab,36,Male,Four-Wheeler,6,Dust Storm,Slippery,Expired,1,No,,Green,100,35,0.39,Not Conducted,No,2,0,15,Over-speeding
Maharashtra,Bike,Blue,2021,Maharashtra,66,Female,Heavy Vehicle,8,Dust Storm,Wet,Suspended,4,No,No,Green,100,85,0.32,Negative,Yes,0,4,3,No Helmet
Gujarat,Scooter,White,2009,Tamil Nadu,33,Other,Heavy Vehicle,7,Rainy,Slippery,Expired,5,,,Red,30,35,0.34,Positive,No,0,5,11,Signal Jumping
Karnataka,Bus,Blue,2019,Gujarat,20,Female,Commercial,8,Dust Storm,Slippery,Expired,3,,No,Red,40,114,0.0,Not Conducted,No,1,3,21,No Seatbelt
Gujarat,Bus,Blue,2012,Delhi,25,Male,Heavy Vehicle,5,Rainy,Slippery,Valid,4,,No,Red,50,69,0.25,Positive,Yes,1,3,13,Wrong Parking
Uttar Pradesh,Bus,Blue,2008,Gujarat,65,Female,Four-Wheeler,0,Clear,Dry,Valid,5,,,Yellow,50,100,0.09,Negative,Yes,1,0,19,Wrong Parking
Delhi,Truck,White,2009,Karnataka,37,Other,Commercial,9,Foggy,Slippery,Suspended,5,No,,Red,30,51,0.37,Negative,No,4,1,3,No Helmet
Punjab,Bike,Black,2006,Karnataka,22,Other,Two-Wheeler,6,Clear,Under Construction,Suspended,5,,,Yellow,50,74,0.4,Not Conducted,Yes,1,3,23,Signal Jumping
Maharashtra,Scooter,Yellow,2009,Maharashtra,44,Male,Commercial,7,Foggy,Wet,Valid,1,,No,Yellow,100,56,0.26,Positive,Yes,2,2,7,Driving Without License
Punjab,Scooter,Black,2012,Gujarat,37,Female,Two-Wheeler,6,Cloudy,Wet,Valid,1,Yes,Yes,Yellow,50,93,0.19,Negative,No,2,5,8,Using Mobile Phone
Delhi,Bus,Green,2001,Uttar Pradesh,19,Female,Four-Wheeler,6,Clear,Potholes,Valid,1,No,,Yellow,80,47,0.43,Not Conducted,Yes,5,0,10,Overloading
Maharashtra,Auto Rickshaw,Blue,2002,Delhi,74,Other,Learner,0,Foggy,Potholes,Suspended,3,,,Green,80,47,0.24,Positive,No,2,2,21,Driving Without License
Karnataka,Bike,Silver,2011,Tamil Nadu,67,Male,Heavy Vehicle,3,Dust Storm,Wet,Expired,4,Yes,Yes,Red,100,46,0.44,Positive,No,4,3,9,No Helmet
Karnataka,Bike,Red,2017,Gujarat,32,Female,Commercial,9,Dust Storm,Under Construction,Suspended,2,No,,Red,40,117,0.02,Not Conducted,No,5,6,12,Drunk Driving
Uttar Pradesh,Scooter,White,1995,Gujarat,21,Other,Two-Wheeler,9,Rainy,Wet,Valid,2,Yes,No,Red,50,48,0.07,Positive,Yes,5,1,19,No Helmet
Delhi,Car,White,2020,Punjab,43,Female,Four-Wheeler,8,Cloudy,Dry,Expired,5,,Yes,Green,60,37,0.45,Negative,Yes,2,5,18,Wrong Parking
Tamil Nadu,Bus,Green,1999,Maharashtra,26,Male,Commercial,5,Cloudy,Slippery,Valid,2,No,,Green,100,104,0.44,Not Conducted,No,4,1,22,Using Mobile Phone
West Bengal,Bike,Blue,2011,Maharashtra,52,Male,Commercial,3,Dust Storm,Under Construction,Expired,3,Yes,Yes,Red,60,75,0.49,Not Conducted,Yes,5,0,13,Driving Without License
Uttar Pradesh,Car,Green,2019,West Bengal,64,Other,Commercial,7,Dust Storm,Potholes,Valid,2,No,No,Yellow,60,80,0.16,Negative,No,3,0,1,No Helmet
Maharashtra,Bus,Yellow,2021,Gujarat,53,Male,Heavy Vehicle,8,Foggy,Dry,Suspended,4,,No,Green,50,94,0.17,Positive,Yes,5,2,3,Drunk Driving
Gujarat,Truck,White,2007,Maharashtra,40,Male,Heavy Vehicle,0,Cloudy,Dry,Valid,5,No,,Green,30,79,0.22,Positive,No,4,5,18,Drunk Driving
Uttar Pradesh,Truck,Silver,2019,Maharashtra,43,Male,Learner,7,Rainy,Dry,Valid,1,No,Yes,Red,60,55,0.2,Not Conducted,Yes,4,6,16,Signal Jumping
Punjab,Bike,Grey,1996,Delhi,57,Other,Four-Wheeler,0,Dust Storm,Dry,Suspended,5,Yes,No,Yellow,50,55,0.12,Positive,No,1,2,17,Using Mobile Phone
Tamil Nadu,Car,Red,2017,West Bengal,18,Female,Four-Wheeler,2,Rainy,Wet,Valid,5,No,,Yellow,100,52,0.11,Positive,No,4,3,17,Driving Without License
Gujarat,Bus,Green,2020,West Bengal,72,Female,Learner,10,Clear,Slippery,Suspended,1,No,No,Green,80,114,0.04,Positive,No,2,1,8,Signal Jumping
Gujarat,Bike,Red,1999,Karnataka,57,Male,Commercial,5,Rainy,Wet,Valid,3,,,Red,40,78,0.29,Positive,Yes,5,3,18,No Seatbelt
Gujarat,Auto Rickshaw,Green,2003,West Bengal,58,Male,Commercial,1,Foggy,Slippery,Valid,4,No,Yes,Green,50,85,0.43,Negative,Yes,3,1,0,Over-speeding
Gujarat,Scooter,Black,1996,Uttar Pradesh,41,Other,Learner,1,Cloudy,Under Construction,Valid,2,,Yes,Green,100,88,0.39,Not Conducted,Yes,3,3,20,Over-speeding
Uttar Pradesh,Bike,Red,1999,West Bengal,54,Male,Learner,9,Dust Storm,Wet,Suspended,3,Yes,,Yellow,40,25,0.39,Positive,No,1,2,21,Overloading
Delhi,Car,Yellow,2016,West Bengal,39,Female,Two-Wheeler,10,Rainy,Slippery,Suspended,3,,Yes,Yellow,50,52,0.3,Not Conducted,No,2,1,0,Using Mobile Phone
Tamil Nadu,Truck,Green,2015,Maharashtra,73,Male,Commercial,2,Rainy,Dry,Expired,2,Yes,,Red,30,37,0.3,Not Conducted,Yes,2,0,16,Using Mobile Phone
Delhi,Scooter,Green,2007,Gujarat,40,Female,Learner,7,Dust Storm,Slippery,Valid,1,,,Green,60,112,0.06,Negative,Yes,1,1,9,No Helmet
Gujarat,Bus,Yellow,2013,Maharashtra,73,Other,Two-Wheeler,7,Clear,Wet,Suspended,5,Yes,,Green,80,20,0.38,Positive,Yes,2,0,15,Over-speeding
Uttar Pradesh,Bike,Red,2022,Karnataka,66,Other,Two-Wheeler,6,Dust Storm,Wet,Suspended,1,,No,Green,50,32,0.5,Not Conducted,Yes,3,3,11,Using Mobile Phone
Karnataka,Bike,Yellow,2021,Tamil Nadu,62,Male,Commercial,0,Cloudy,Potholes,Valid,4,Yes,,Yellow,60,43,0.43,Positive,Yes,5,6,18,Wrong Parking
